,TSLA
1320,234.07
1321,234.16
1322,234.179
1323,234.2982
1324,234.3
1325,234.26
1326,234.36
1327,234.24
1328,234.28
1329,234.31
1330,234.39
1331,234.5
1332,234.63
1333,234.6
1334,234.65
1335,234.69
1336,234.709
1337,234.79
1338,234.8497
1339,234.83
1340,234.85
1341,234.83
1342,234.75
1343,234.69
1344,234.6
1345,234.69
1346,234.6
1347,234.56
1348,234.5285
1349,234.47
1350,234.36
1351,234.53
1352,234.591
1353,234.59
1354,234.7657
1355,234.7
1356,234.81
1357,234.97
1358,235.1
1359,235.19
1360,235.0
1361,234.9417
1362,234.63
1363,234.39
1364,234.445
1365,234.43
1366,234.3452
1367,234.31
1368,234.1692
1369,234.23
1370,234.24
1371,234.2297
1372,234.4163
1373,234.39
1374,234.4106
1375,234.48
1376,234.5968
1377,234.67
1378,234.68
1379,234.6504
1380,234.51
1381,234.35
1382,234.37
1383,234.33
1384,234.2242
1385,234.33900000000003
1386,234.37
1387,234.25
1388,234.23
1389,234.32
1390,234.49
1391,234.44
1392,234.51
1393,234.5268
1394,234.5795
1395,234.41
1396,234.36
1397,234.41
1398,234.53
1399,234.5773
1400,234.5
1401,234.525
1402,234.6
1403,234.73
1404,234.78
1405,234.87
1406,234.9
1407,234.84
1408,234.8
1409,234.88
1410,234.92
1411,234.67
1412,234.58
1413,234.76
1414,234.774
1415,234.8135
1416,234.88
1417,234.845
1418,234.78
1419,234.8
1420,234.765
1421,234.77
1422,234.75
1423,234.84
1424,234.96
1425,234.9
1426,234.9
1427,234.84
1428,234.95
1429,234.92
1430,234.91
1431,234.96
1432,235.075
1433,235.2399
1434,235.11
1435,234.88
1436,234.91
1437,234.93
1438,234.89
1439,234.73
1440,234.69
1441,234.77
1442,234.885
1443,234.825
1444,234.81
1445,234.9
1446,234.84
1447,234.98
1448,234.96
1449,235.17
1450,235.07
1451,234.931
1452,234.94
1453,235.0333
1454,234.92
1455,234.8275
1456,234.79
1457,234.75
1458,234.79
1459,234.79
1460,234.65
1461,234.7
1462,234.58
1463,234.43
1464,234.44
1465,234.41
1466,234.2
1467,234.17
1468,234.17
1469,234.19
1470,234.235
1471,234.3058
1472,234.2501
1473,234.55
1474,234.72
1475,234.642
1476,234.67
1477,234.61
1478,234.56
1479,234.29
1480,234.31
1481,234.415
1482,234.4
1483,234.55
1484,234.492
1485,234.3
1486,234.1375
1487,234.065
1488,234.095
1489,234.16
1490,233.99
1491,234.135
1492,234.13
1493,234.1985
1494,234.13
1495,234.0748
1496,234.275
1497,234.42
1498,234.5388
1499,234.5495
1500,234.65
1501,234.48
1502,234.52
1503,234.56
1504,234.4
1505,234.25
1506,234.199
1507,234.1713
1508,234.185
1509,234.186
1510,234.38
1511,234.34
1512,234.29
1513,234.245
1514,234.27
1515,234.24
1516,234.325
1517,234.3494
1518,234.25
1519,234.18
1520,234.23
1521,234.225
1522,234.29
1523,234.373
1524,234.345
1525,234.19
1526,234.37
1527,234.4868
1528,234.49
1529,234.29
1530,234.54
1531,234.44
1532,234.4
1533,234.47
1534,234.47
1535,234.4
1536,234.45
1537,234.549
1538,234.65
1539,234.6
1540,234.68
1541,234.77
1542,234.72
1543,234.73
1544,234.625
1545,234.585
1546,234.61
1547,234.695
1548,234.84
1549,234.76
1550,234.79
1551,234.57
1552,234.49
1553,234.85
1554,234.835
1555,234.78
1556,234.83
1557,234.66
1558,234.7
1559,234.76
1560,234.79
1561,235.3
1562,235.3194
1563,235.36
1564,235.16
1565,234.46
1566,234.26
1567,233.51
1568,232.42
1569,232.38
1570,231.53
1571,230.67
1572,231.26
1573,230.874
1574,231.31
1575,231.98
1576,231.94
1577,231.9575
1578,231.879
1579,231.705
1580,231.7
1581,231.77
1582,231.8455
1583,231.53
1584,231.2399
1585,231.0
1586,230.98
1587,230.71
1588,230.41
1589,230.31
1590,230.92
1591,231.635
1592,231.85
1593,231.75
1594,231.7
1595,231.9
1596,232.005
1597,231.9448
1598,232.4
1599,232.6
1600,232.1
1601,232.071
1602,231.6851
1603,232.19
1604,232.16
1605,232.57
1606,232.544
1607,232.99
1608,233.43
1609,233.2759
1610,233.73
